Genres,Danceability (0-1),Tempo (BPM),Popularity (0-100),Key,Mode
australian rock,0.5251550542913963,121.00244884585209,38.52005510441563,D,Major
australian singer-songwriter,0.5148333333333334,125.33166666666666,24.33333333333333,Bb,Major
australian ska,0.275,148.725,45.0,A,Minor
australian talent show,0.5893333333333334,140.0596666666667,51.0,G,Minor
australian trap,0.6845,140.724,33.75,G,Major
australian underground hip hop,0.5760000000000001,165.87599999999995,0.0,Ab,Major
austrian choir,0.2687584595959596,99.39920233585859,14.890151515151516,D,Major
austrian classical piano,0.36496106902356906,115.69953808922556,17.622685185185183,A,Major
austrian orchestra,0.23609971574409294,121.911791120332,23.302493193698037,Bb,Major
austrian punk,0.35600000000000004,98.59975,0.5,E,Major
austrian techno,0.7676666666666666,122.305,0.0,Gb,Minor
austro-german modernism,0.34393642857142864,106.60843053571428,4.5275,F,Major
auteur-compositeur-interprete quebecois,0.522,103.948,52.0,B,Major
autoharp,0.727,108.762,35.0,B,Major
autonomous black metal,0.2679460784313725,116.47325000000004,39.01470588235294,B,Major
avant-garde,0.333726966373753,103.24885867991837,20.87732213438736,G,Major
avant-garde jazz,0.4353711129767453,107.86652158704183,22.8313404493153,F,Major
avant-garde metal,0.47525,124.553,2.0,B,Major
axe,0.6133333333333334,115.52804545454543,54.90909090909091,G,Major
azeri traditional,0.4645,104.1395,47.5,G,Minor
azonto,0.7506666666666666,115.75413888888887,26.86111111111111,Db,Major
azontobeats,0.6473999999999999,132.94239999999996,18.1,Db,Major
bachata,0.7700240273958973,125.24544067600122,46.389625095109885,Db,Major
bachata dominicana,0.7381709720905391,127.48521090880921,40.863901567212274,G,Major
background jazz,0.614197619047619,123.56465,19.085714285714285,Db,Major
background music,0.4657750000000001,103.99902142857141,27.60833333333333,B,Minor
background piano,0.5044545454545455,111.73355582137164,14.778309409888356,C,Major
baglama,0.47700000000000004,90.40299999999999,1.0,B,Major
bahai,0.536,170.709,23.0,F,Major
bahamian folk,0.6437499999999999,113.8222314814815,4.712962962962963,Bb,Major
bahamian pop,0.8157777777777778,123.27333333333335,49.66666666666666,B,Minor
